"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10548","REG-CWV-031 — Time Period Last 6 hours refreshes overview table","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","2439","REG-CWV-028 — Geography Zoom in / Zoom out controls respond","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","6917","REG-CWV-011 — top filter combo: Time Period = Last 6 Hours","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","10055","REG-CWV-030 — right-nav Filters open and Apply Filters works (sample)","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","6806","REG-CWV-034 — Time Period Last 30 days refreshes overview table","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","214","REG-CWV-035 — Favorites section optional soft-check via left nav","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","2778","REG-CWV-015 — top filter combo: Device Mobile + Browser Safari + Last 24 Hours","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","777","REG-CWV-023 — Customize Table opens with include/exclude/reset/default/save","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","7909","REG-CWV-006 — top filter combo: Data Origin = Native Webview","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","1739","REG-CWV-029 — View Filters toggle shows or hides filter banner","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","3918","REG-CWV-018 — expand Top 50 URLs for a page","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","10756","REG-CWV-005 — top filter combo: Data Origin = RUM Browser (grid refreshes)","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
